"lon","lat"
-140.049468994141,-85.2511138916016
-139.356140136719,-85.2347259521484
-139.123626708984,-85.2100067138672
-139.08154296875,-85.1882019042969
-139.064193725586,-85.1443099975586
-139.105834960938,-85.1161193847656
-139.093627929688,-85.0905609130859
-138.589447021484,-84.9847259521484
-138.683074951172,-84.9675140380859
-140.294738769531,-84.89111328125
-145.721954345703,-84.7233428955078
-148.012786865234,-84.6338958740234
-149.294738769531,-84.5619506835938
-150.610290527344,-84.4558410644531
-151.691131591797,-84.3241729736328
-152.115295410156,-84.2413940429688
-153.053070068359,-84.0127868652344
-153.216125488281,-83.9158401489258
-153.233612060547,-83.8783416748047
-153.232788085938,-83.8186187744141
-153.19140625,-83.7863922119141
-152.999588012695,-83.7093124389648
-152.943634033203,-83.6483459472656
-152.928894042969,-83.5701446533203
-152.972091674805,-83.4448699951172
-152.92724609375,-83.3669509887695
-152.928070068359,-83.3408355712891
-153.031677246094,-83.2239685058594
-153.054168701172,-83.1519470214844
-153.007507324219,-83.0875091552734
-152.668914794922,-82.9200134277344
-152.491119384766,-82.8797302246094
-152.328063964844,-82.8175048828125
-152.118896484375,-82.7786254882812
-151.958892822266,-82.7302856445312
-151.803619384766,-82.6366729736328
-151.780014038086,-82.6015319824219
-151.794189453125,-82.5777893066406
-152.008056640625,-82.5047302246094
-152.919738769531,-82.3558349609375
-153.942779541016,-82.1405639648438
-154.423889160156,-82.0694580078125
-154.468902587891,-82.0524978637695
-154.409118652344,-81.9947280883789
-154.446411132812,-81.9744567871094
-154.769195556641,-81.9336242675781
-154.839752197266,-81.9205627441406
-154.88786315918,-81.8932037353516
-154.786819458008,-81.812370300293
-154.7236328125,-81.7861175537109
-154,-81.6483459472656
-153.992935180664,-81.6220932006836
-154.205017089844,-81.5522308349609
-154.498077392578,-81.4952850341797
-155.403625488281,-81.3800048828125
-155.897247314453,-81.3369445800781
-156.733337402344,-81.3111114501953
-156.880004882812,-81.2941741943359
-156.940841674805,-81.2769470214844
-156.9560546875,-81.2522964477539
-156.755004882812,-81.1400146484375
-156.546417236328,-81.0969543457031
-155.313903808594,-81.0058441162109
-154.921691894531,-81.001953125
-153.711120605469,-81.0719451904297
-153.096954345703,-81.0789031982422
-152.605010986328,-81.1183471679688
-151.680847167969,-81.1347351074219
-151.060028076172,-81.2752838134766
-150.455841064453,-81.3372344970703
-149.2216796875,-81.3630676269531
-148.413360595703,-81.3575134277344
-148.405578613281,-81.2988891601562
-148.35514831543,-81.2512588500977
-148.259735107422,-81.2138977050781
-148.138061523438,-81.126953125
-148.060028076172,-81.1013946533203
-147.000579833984,-80.8463897705078
-145.885833740234,-80.6305694580078
-145.616973876953,-80.5400085449219
-145.522384643555,-80.4833374023438
-145.524169921875,-80.4605560302734
-145.621673583984,-80.3325042724609
-145.697509765625,-80.2880706787109
-146.028076171875,-80.1908416748047
-146.180847167969,-80.1294555664062
-146.439727783203,-79.9713897705078
-146.811950683594,-79.8875122070312
-147.574737548828,-79.7677917480469
-148.490295410156,-79.6622314453125
-148.751129150391,-79.6075134277344
-149.397521972656,-79.5991668701172
-150.290008544922,-79.4947357177734
-151.896118164062,-79.2672271728516
-152.344177246094,-79.1772308349609
-153.0341796875,-79.1564025878906
-153.857238769531,-79.1063995361328
-154.298065185547,-79.0572357177734
-154.640838623047,-78.9902801513672
-154.841400146484,-78.9244537353516
-155.906402587891,-78.7197265625
-155.983062744141,-78.6936187744141
-156.013977050781,-78.6637573242188
-155.946411132812,-78.6361236572266
-155.508361816406,-78.586669921875
-154.185852050781,-78.4961242675781
-153.884323120117,-78.4343185424805
-153.75993347168,-78.3424377441406
-153.750442504883,-78.3116683959961
-153.761962890625,-78.2850112915039
-153.860290527344,-78.2172241210938
-154.009185791016,-78.1650085449219
-154.210845947266,-78.1194458007812
-154.527252197266,-78.0994567871094
-155.069183349609,-78.1619567871094
-155.514739990234,-78.1905670166016
-156.11474609375,-78.1513977050781
-156.209167480469,-78.1736145019531
-156.277160644531,-78.2449340820312
-156.320556640625,-78.2622222900391
-156.395843505859,-78.2808380126953
-156.561401367188,-78.2886199951172
-156.839172363281,-78.2652893066406
-157.229461669922,-78.1508483886719
-157.910278320312,-78.001953125
-158.123764038086,-77.9161148071289
-158.158615112305,-77.8861236572266
-158.16764831543,-77.8469467163086
-158.00959777832,-77.7818145751953
-158.006683349609,-77.7583465576172
-158.080017089844,-77.6737594604492
-158.063079833984,-77.6577911376953
-157.747528076172,-77.6025085449219
-157.700714111328,-77.577507019043
-157.741668701172,-77.4077911376953
-157.844177246094,-77.363899230957
-157.848281860352,-77.3150100708008
-157.741821289062,-77.2247314453125
-157.854110717773,-77.148681640625
-157.753082275391,-77.1080627441406
-157.572784423828,-77.0844573974609
-157.367935180664,-77.1062545776367
-157.283905029297,-77.1700134277344
-157.039733886719,-77.2583465576172
-156.840026855469,-77.2830657958984
-156.688354492188,-77.3358459472656
-156.483337402344,-77.3586120605469
-156.077789306641,-77.2679290771484
-156.060150146484,-77.2483444213867
-156.086547851562,-77.2282028198242
-156.228912353516,-77.1687622070312
-156.165283203125,-77.1397247314453
-155.948059082031,-77.0944519042969
-155.682800292969,-77.0789031982422
-155.192779541016,-77.1105651855469
-155.020294189453,-77.0869445800781
-154.873077392578,-77.1419525146484
-154.579193115234,-77.1266784667969
-154.201416015625,-77.1877899169922
-153.822235107422,-77.1725006103516
-153.636413574219,-77.2158355712891
-153.254455566406,-77.2463989257812
-153.110290527344,-77.274169921875
-152.988342285156,-77.3450012207031
-152.972381591797,-77.3716049194336
-153.184173583984,-77.3958435058594
-153.217102050781,-77.4055633544922
-153.238891601562,-77.432991027832
-153.172515869141,-77.4829254150391
-153.106414794922,-77.4972229003906
-152.295288085938,-77.4602813720703
-152.198348999023,-77.4145965576172
-152.191268920898,-77.3495941162109
-152.175842285156,-77.3355560302734
-152.087799072266,-77.3247222900391
-151.854461669922,-77.3766784667969
-151.227508544922,-77.3897247314453
-151.141693115234,-77.4061126708984
-151.098358154297,-77.4727783203125
-150.425018310547,-77.5958404541016
-149.884460449219,-77.7325134277344
-149.662231445312,-77.7611236572266
-149.419738769531,-77.7611236572266
-149.09765625,-77.6943817138672
-149.345001220703,-77.6513977050781
-149.48828125,-77.5977096557617
-149.4716796875,-77.5808410644531
-149.414184570312,-77.5708465576172
-149.198333740234,-77.5738983154297
-148.857238769531,-77.6255645751953
-148.673889160156,-77.6194458007812
-148.580429077148,-77.5875091552734
-148.574310302734,-77.5620880126953
-148.614044189453,-77.5136184692383
-148.581115722656,-77.5044555664062
-148.053894042969,-77.4580688476562
-147.815582275391,-77.45361328125
-147.591400146484,-77.4222259521484
-147.562789916992,-77.4015350341797
-147.524597167969,-77.3059844970703
-147.467224121094,-77.2944488525391
-147.218353271484,-77.3264007568359
-147.182647705078,-77.3357009887695
-147.156402587891,-77.3708343505859
-147.099456787109,-77.3772277832031
-147.068069458008,-77.3612518310547
-147.113342285156,-77.321533203125
-147.112380981445,-77.2412490844727
-147.0322265625,-77.2208404541016
-146.880859375,-77.2219543457031
-146.775573730469,-77.2444458007812
-146.52197265625,-77.3363952636719
-146.322509765625,-77.4558410644531
-146.240295410156,-77.4630584716797
-146.014739990234,-77.4127807617188
-145.990417480469,-77.402229309082
-146.009536743164,-77.3454971313477
-145.884460449219,-77.3096618652344
-145.934173583984,-77.2816772460938
-146.148208618164,-77.2315368652344
-146.221817016602,-77.1618118286133
-146.008636474609,-77.1611175537109
-145.845291137695,-77.1054229736328
-145.889465332031,-77.0825042724609
-146.200836181641,-77.0358428955078
-146.301254272461,-77.0020904541016
-146.223907470703,-76.9741668701172
-146.166412353516,-76.9727783203125
-145.432525634766,-77.0408477783203
-145.298889160156,-77.0291748046875
-145.372802734375,-76.9525146484375
-145.415557861328,-76.9333343505859
-145.822784423828,-76.899169921875
-146.102233886719,-76.8400115966797
-145.599182128906,-76.8127899169922
-145.494750976562,-76.7941741943359
-145.470443725586,-76.7838973999023
-145.461334228516,-76.759033203125
-145.521667480469,-76.73583984375
-145.780578613281,-76.695556640625
-146.083892822266,-76.665283203125
-146.303344726562,-76.6122283935547
-146.545288085938,-76.526123046875
-146.932250976562,-76.4519500732422
-147.920013427734,-76.4158477783203
-148.034683227539,-76.4317169189453
-148.189178466797,-76.4963989257812
-148.29833984375,-76.5050048828125
-149.382507324219,-76.4255676269531
-149.487243652344,-76.4075012207031
-149.503341674805,-76.3821563720703
-149.486968994141,-76.3544464111328
-149.418334960938,-76.3208465576172
-149.287506103516,-76.2955627441406
-148.691955566406,-76.2622222900391
-148.66015625,-76.2541732788086
-148.613067626953,-76.1945877075195
-148.539733886719,-76.1633453369141
-148.289733886719,-76.1033477783203
-148.101287841797,-76.0956573486328
-147.989196777344,-76.1063995361328
-147.741394042969,-76.1644592285156
-147.196685791016,-76.2241668701172
-146.935028076172,-76.2950134277344
-146.491668701172,-76.3675079345703
-145.785583496094,-76.4469451904297
-145.479461669922,-76.4433441162109
-145.398071289062,-76.418342590332
-145.398208618164,-76.3498687744141
-145.420440673828,-76.3272323608398
-145.496673583984,-76.2994537353516
-145.754730224609,-76.2775115966797
-145.902252197266,-76.2430572509766
-146.155303955078,-76.1380615234375
-146.287231445312,-76.1025085449219
-146.295288085938,-76.0397338867188
-146.112243652344,-75.9302825927734
-145.976684570312,-75.8988952636719
-145.263641357422,-75.9169464111328
-144.778350830078,-75.8680572509766
-144.507507324219,-75.8705596923828
-144.206390380859,-75.8377838134766
-144.207244873047,-75.7886199951172
-144.255844116211,-75.7304229736328
-144.261535644531,-75.7012557983398
-144.248352050781,-75.6812515258789
-144.170562744141,-75.6644592285156
