;mean;sd
b0_m;0.321324294;3.981136591
b1_m;0.155139722;0.010666146
b2_m;-0.036455628;2.012546004
b3_m;-0.188882631;2.60477847
b4_m;-0.086474785;0.469084447
b5_m;-0.637701197;3.155866866
