"","x","y","numb"
"1",-55.625,-59.6875,1
"2",-55.625,-59.5625,2
"3",-55.625,-59.4375,1
"4",-55.625,-59.3125,2
"5",-55.375,-59.8125,2
"6",-55.375,-59.1875,3
"7",-55.125,-59.9375,1
"8",-55.125,-59.1875,2
"9",-54.875,-59.9375,1
"10",-54.875,-59.3125,1
"11",-54.875,-59.1875,1
"12",-54.625,-59.9375,1
"13",-54.625,-59.3125,1
"14",-54.375,-59.8125,2
"15",-54.375,-59.3125,2
"16",-54.375,-59.1875,1
"17",-54.125,-59.6875,3
"18",-53.625,-59.6875,2
"19",-53.625,-59.5625,1
"20",-53.625,-59.4375,3
"21",-53.375,-59.8125,1
"22",-53.375,-59.6875,1
"23",-53.375,-59.4375,1
"24",-53.125,-59.9375,1
"25",-53.125,-59.8125,2
"26",-53.125,-59.4375,1
"27",-52.875,-59.9375,1
"28",-52.875,-59.8125,2
"29",-52.875,-59.6875,1
"30",-52.875,-59.5625,4
"31",-52.625,-60.0625,1
"32",-52.625,-59.9375,1
"33",-52.625,-59.8125,5
"34",-52.625,-59.6875,3
"35",-52.375,-60.0625,3
"36",-52.375,-59.9375,2
"37",-52.375,-59.5625,3
"38",-52.375,-59.4375,1
"39",-52.375,-59.3125,1
"40",-52.125,-60.0625,3
"41",-52.125,-59.9375,7
"42",-52.125,-59.8125,3
"43",-52.125,-59.6875,2
"44",-52.125,-59.5625,3
"45",-52.125,-59.4375,4
"46",-52.125,-59.3125,1
"47",-51.875,-60.0625,9
"48",-51.875,-59.9375,11
"49",-51.875,-59.4375,1
"50",-51.875,-59.3125,3
"51",-51.875,-59.1875,2
"52",-51.875,-59.0625,1
"53",-51.875,-58.9375,5
"54",-51.625,-60.0625,3
"55",-51.625,-59.9375,3
"56",-51.625,-59.8125,3
"57",-51.625,-59.6875,5
"58",-51.625,-59.5625,3
"59",-51.625,-59.4375,2
"60",-51.625,-59.3125,1
"61",-51.625,-59.1875,1
"62",-51.625,-58.8125,2
"63",-51.375,-60.0625,7
"64",-51.375,-59.9375,4
"65",-51.375,-59.8125,1
"66",-51.375,-59.6875,3
"67",-51.375,-59.5625,3
"68",-51.375,-59.4375,4
"69",-51.375,-59.3125,4
"70",-51.375,-59.1875,2
"71",-51.375,-59.0625,1
"72",-51.375,-58.6875,2
"73",-51.125,-60.0625,12
"74",-51.125,-59.9375,6
"75",-51.125,-59.8125,4
"76",-51.125,-59.6875,3
"77",-51.125,-59.3125,6
"78",-51.125,-59.1875,6
"79",-51.125,-59.0625,2
