"","x","y","numb"
"1",-62.625,-63.8125,1
"2",-62.375,-63.9375,4
"3",-62.375,-63.8125,7
"4",-62.125,-63.9375,2
"5",-62.125,-63.8125,20
"6",-62.125,-63.6875,8
"7",-61.875,-63.9375,1
"8",-61.875,-63.8125,8
"9",-61.875,-63.6875,12
"10",-61.875,-63.5625,8
"11",-61.875,-63.4375,2
"12",-61.875,-63.3125,34
"13",-61.625,-69.4375,366
"14",-61.625,-69.3125,186
"15",-61.625,-63.6875,1
"16",-61.625,-63.5625,35
"17",-61.625,-63.4375,36
"18",-61.625,-63.3125,7
"19",-61.375,-69.8125,1550
"20",-61.375,-69.6875,617
"21",-61.375,-69.5625,1344
"22",-61.375,-69.4375,2462
"23",-61.375,-69.3125,2198
"24",-61.375,-69.1875,1949
"25",-61.375,-69.0625,1274
"26",-61.375,-68.9375,199
"27",-61.375,-63.9375,8
"28",-61.375,-63.8125,3
"29",-61.375,-63.6875,12
"30",-61.375,-63.5625,51
"31",-61.375,-63.4375,16
"32",-61.375,-63.3125,5
"33",-61.375,-63.1875,2
"34",-61.125,-74.8125,1390
"35",-61.125,-74.6875,410
"36",-61.125,-70.3125,176
"37",-61.125,-70.1875,1336
"38",-61.125,-70.0625,2631
"39",-61.125,-69.9375,2450
"40",-61.125,-69.8125,1876
"41",-61.125,-69.6875,2187
"42",-61.125,-69.5625,2754
"43",-61.125,-69.4375,3373
"44",-61.125,-69.3125,2849
"45",-61.125,-69.1875,4202
"46",-61.125,-69.0625,3495
"47",-61.125,-68.9375,1410
"48",-61.125,-68.8125,440
"49",-61.125,-67.5625,197
"50",-61.125,-67.4375,29
"51",-61.125,-64.3125,3
"52",-61.125,-64.1875,2
"53",-61.125,-64.0625,17
"54",-61.125,-63.9375,11
"55",-61.125,-63.8125,18
"56",-61.125,-63.6875,48
"57",-61.125,-63.5625,56
"58",-61.125,-63.1875,3
"59",-60.875,-74.9375,454
"60",-60.875,-74.8125,4645
"61",-60.875,-74.6875,3543
"62",-60.875,-74.4375,577
"63",-60.875,-74.3125,167
"64",-60.875,-70.8125,539
"65",-60.875,-70.6875,182
"66",-60.875,-70.4375,636
"67",-60.875,-70.3125,1821
"68",-60.875,-70.1875,2078
"69",-60.875,-70.0625,1991
"70",-60.875,-69.9375,1736
"71",-60.875,-69.8125,4991
"72",-60.875,-69.6875,5176
"73",-60.875,-69.5625,2004
"74",-60.875,-69.4375,974
"75",-60.875,-69.3125,1028
"76",-60.875,-69.1875,1716
"77",-60.875,-69.0625,2500
"78",-60.875,-68.9375,1596
"79",-60.875,-68.8125,990
"80",-60.875,-68.6875,451
"81",-60.875,-67.9375,51
"82",-60.875,-67.8125,799
"83",-60.875,-67.6875,1425
"84",-60.875,-67.5625,1484
"85",-60.875,-67.4375,1640
"86",-60.875,-67.3125,1603
"87",-60.875,-67.1875,791
"88",-60.875,-67.0625,325
"89",-60.875,-66.9375,63
"90",-60.875,-66.6875,1
"91",-60.875,-66.5625,929
"92",-60.875,-66.4375,992
"93",-60.875,-66.3125,896
"94",-60.875,-66.1875,156
"95",-60.875,-64.3125,1
"96",-60.875,-64.1875,5
"97",-60.875,-64.0625,10
"98",-60.875,-63.9375,4
"99",-60.875,-63.8125,26
"100",-60.875,-63.6875,187
"101",-60.875,-63.5625,85
"102",-60.875,-63.4375,22
"103",-60.875,-63.3125,2
"104",-60.875,-63.1875,2
"105",-60.625,-75.0625,63
"106",-60.625,-74.9375,733
"107",-60.625,-74.8125,2287
"108",-60.625,-74.6875,3388
"109",-60.625,-74.5625,1459
"110",-60.625,-74.4375,3066
"111",-60.625,-74.3125,2316
"112",-60.625,-74.1875,834
"113",-60.625,-71.1875,103
"114",-60.625,-71.0625,240
"115",-60.625,-70.9375,681
"116",-60.625,-70.8125,3064
"117",-60.625,-70.6875,5402
"118",-60.625,-70.5625,1835
"119",-60.625,-70.4375,2673
"120",-60.625,-70.3125,2127
"121",-60.625,-70.1875,2021
"122",-60.625,-70.0625,1824
"123",-60.625,-69.9375,1312
"124",-60.625,-69.8125,4079
"125",-60.625,-69.6875,4300
"126",-60.625,-69.5625,2338
"127",-60.625,-69.4375,1852
"128",-60.625,-69.3125,2156
"129",-60.625,-69.1875,2064
"130",-60.625,-69.0625,2799
"131",-60.625,-68.9375,2524
"132",-60.625,-68.8125,3164
"133",-60.625,-68.6875,2522
"134",-60.625,-67.9375,804
"135",-60.625,-67.8125,2714
"136",-60.625,-67.6875,2931
"137",-60.625,-67.5625,2536
"138",-60.625,-67.4375,2441
"139",-60.625,-67.3125,2119
"140",-60.625,-67.1875,2234
"141",-60.625,-67.0625,2056
"142",-60.625,-66.9375,1818
"143",-60.625,-66.8125,2340
"144",-60.625,-66.6875,2114
"145",-60.625,-66.5625,1566
"146",-60.625,-66.4375,1567
"147",-60.625,-66.3125,1167
"148",-60.625,-66.1875,1316
"149",-60.625,-66.0625,906
"150",-60.625,-65.9375,99
"151",-60.625,-65.8125,151
"152",-60.625,-63.9375,32
"153",-60.625,-63.8125,79
"154",-60.625,-63.6875,48
"155",-60.625,-63.5625,143
"156",-60.625,-63.4375,96
"157",-60.625,-63.3125,11
"158",-60.625,-63.1875,2
"159",-60.375,-75.0625,1009
"160",-60.375,-74.9375,1584
"161",-60.375,-74.8125,2112
"162",-60.375,-74.6875,2110
"163",-60.375,-74.5625,2080
"164",-60.375,-74.4375,1991
"165",-60.375,-74.3125,2441
"166",-60.375,-74.1875,3254
"167",-60.375,-74.0625,2563
"168",-60.375,-73.9375,3086
"169",-60.375,-73.8125,2487
"170",-60.375,-72.0625,335
"171",-60.375,-71.9375,1967
"172",-60.375,-71.8125,1103
"173",-60.375,-71.6875,819
"174",-60.375,-71.5625,1716
"175",-60.375,-71.4375,1808
"176",-60.375,-71.3125,2337
"177",-60.375,-71.1875,2190
"178",-60.375,-71.0625,1974
"179",-60.375,-70.9375,2586
"180",-60.375,-70.8125,3033
"181",-60.375,-70.6875,3891
"182",-60.375,-70.5625,3427
"183",-60.375,-70.4375,2143
"184",-60.375,-70.3125,2105
"185",-60.375,-70.1875,1124
"186",-60.375,-70.0625,468
"187",-60.375,-69.9375,437
"188",-60.375,-69.8125,696
"189",-60.375,-69.6875,1182
"190",-60.375,-69.5625,1953
"191",-60.375,-69.4375,790
"192",-60.375,-69.3125,421
"193",-60.375,-69.1875,550
"194",-60.375,-69.0625,1672
"195",-60.375,-68.9375,2299
"196",-60.375,-68.8125,2910
"197",-60.375,-68.6875,2665
"198",-60.375,-67.9375,1237
"199",-60.375,-67.8125,3148
"200",-60.375,-67.6875,3269
"201",-60.375,-67.5625,3357
"202",-60.375,-67.4375,2773
"203",-60.375,-67.3125,3880
"204",-60.375,-67.1875,2165
"205",-60.375,-67.0625,1612
"206",-60.375,-66.9375,1936
"207",-60.375,-66.8125,1624
"208",-60.375,-66.6875,6000
"209",-60.375,-66.5625,5176
"210",-60.375,-66.4375,2285
"211",-60.375,-66.3125,2767
"212",-60.375,-66.1875,1750
"213",-60.375,-66.0625,852
"214",-60.375,-65.9375,825
"215",-60.375,-65.8125,1892
"216",-60.375,-65.6875,2862
"217",-60.375,-65.5625,2098
"218",-60.375,-65.4375,496
"219",-60.375,-63.9375,100
"220",-60.375,-63.8125,119
"221",-60.375,-63.6875,123
"222",-60.375,-63.5625,93
"223",-60.375,-63.4375,137
"224",-60.375,-63.3125,51
"225",-60.375,-63.1875,45
"226",-60.375,-63.0625,3
"227",-60.375,-62.9375,1
"228",-60.125,-75.0625,1788
"229",-60.125,-74.9375,1649
"230",-60.125,-74.8125,2177
"231",-60.125,-74.6875,1903
"232",-60.125,-74.5625,1710
"233",-60.125,-74.4375,1666
"234",-60.125,-74.3125,1630
"235",-60.125,-74.1875,2494
"236",-60.125,-74.0625,4296
"237",-60.125,-73.9375,3768
"238",-60.125,-73.8125,4366
"239",-60.125,-73.6875,5343
"240",-60.125,-73.5625,1799
"241",-60.125,-72.1875,528
"242",-60.125,-72.0625,4481
"243",-60.125,-71.9375,2903
"244",-60.125,-71.8125,3737
"245",-60.125,-71.6875,4243
"246",-60.125,-71.5625,3687
"247",-60.125,-71.4375,3744
"248",-60.125,-71.3125,3156
"249",-60.125,-71.1875,2912
"250",-60.125,-71.0625,4625
"251",-60.125,-70.9375,3088
"252",-60.125,-70.8125,2505
"253",-60.125,-70.6875,2458
"254",-60.125,-70.5625,1845
"255",-60.125,-70.4375,2535
"256",-60.125,-70.3125,1192
"257",-60.125,-70.1875,526
"258",-60.125,-70.0625,315
"259",-60.125,-69.9375,329
"260",-60.125,-69.8125,940
"261",-60.125,-69.6875,1348
"262",-60.125,-69.5625,799
"263",-60.125,-69.4375,226
"264",-60.125,-69.3125,279
"265",-60.125,-69.1875,381
"266",-60.125,-69.0625,879
"267",-60.125,-68.9375,1579
"268",-60.125,-68.8125,2906
"269",-60.125,-68.6875,2727
"270",-60.125,-68.5625,653
"271",-60.125,-67.9375,1583
"272",-60.125,-67.8125,3379
"273",-60.125,-67.6875,4318
"274",-60.125,-67.5625,3662
"275",-60.125,-67.4375,3740
"276",-60.125,-67.3125,2932
"277",-60.125,-67.1875,2619
"278",-60.125,-67.0625,2273
"279",-60.125,-66.9375,4047
"280",-60.125,-66.8125,3323
"281",-60.125,-66.6875,7765
"282",-60.125,-66.5625,4180
"283",-60.125,-66.4375,6781
