"","x","y","numb"
"1",-95.625,-71.9375,1
"2",-95.375,-72.0625,1
"3",-95.375,-71.9375,5
"4",-95.375,-71.8125,1
"5",-95.125,-72.0625,2
"6",-95.125,-71.9375,12
"7",-95.125,-71.8125,25
"8",-95.125,-71.6875,13
"9",-94.875,-72.0625,5
"10",-94.875,-71.9375,38
"11",-94.875,-71.8125,57
"12",-94.875,-71.6875,41
"13",-94.875,-71.5625,28
"14",-94.875,-71.4375,12
"15",-94.875,-71.3125,1
"16",-94.625,-72.0625,20
"17",-94.625,-71.9375,60
"18",-94.625,-71.8125,83
"19",-94.625,-71.6875,50
"20",-94.625,-71.5625,37
"21",-94.625,-71.4375,15
"22",-94.625,-71.3125,15
"23",-94.625,-71.1875,18
"24",-94.625,-71.0625,19
"25",-94.375,-72.0625,25
"26",-94.375,-71.9375,117
"27",-94.375,-71.8125,86
"28",-94.375,-71.6875,108
"29",-94.375,-71.5625,68
"30",-94.375,-71.4375,24
"31",-94.375,-71.3125,17
"32",-94.375,-71.1875,30
"33",-94.375,-71.0625,24
"34",-94.375,-70.9375,12
"35",-94.125,-72.1875,4
"36",-94.125,-72.0625,35
"37",-94.125,-71.9375,92
"38",-94.125,-71.8125,141
"39",-94.125,-71.6875,89
"40",-94.125,-71.5625,61
"41",-94.125,-71.4375,42
"42",-94.125,-71.3125,54
"43",-94.125,-71.1875,25
"44",-94.125,-71.0625,21
"45",-94.125,-70.9375,12
"46",-93.875,-72.3125,4
"47",-93.875,-72.1875,10
"48",-93.875,-72.0625,47
"49",-93.875,-71.9375,99
"50",-93.875,-71.8125,112
"51",-93.875,-71.6875,96
"52",-93.875,-71.5625,52
"53",-93.875,-71.4375,50
"54",-93.875,-71.3125,44
"55",-93.875,-71.1875,14
"56",-93.875,-71.0625,7
"57",-93.875,-70.9375,9
"58",-93.875,-70.8125,2
"59",-93.625,-72.3125,18
"60",-93.625,-72.1875,13
"61",-93.625,-72.0625,89
"62",-93.625,-71.9375,78
"63",-93.625,-71.8125,83
"64",-93.625,-71.6875,35
"65",-93.625,-71.5625,26
"66",-93.625,-71.4375,52
"67",-93.625,-71.3125,53
"68",-93.625,-71.1875,61
"69",-93.625,-71.0625,30
"70",-93.625,-70.9375,10
"71",-93.625,-70.8125,17
"72",-93.625,-70.6875,2
"73",-93.375,-72.3125,12
"74",-93.375,-72.1875,38
"75",-93.375,-72.0625,136
"76",-93.375,-71.9375,143
"77",-93.375,-71.8125,66
"78",-93.375,-71.6875,26
"79",-93.375,-71.5625,34
"80",-93.375,-71.4375,99
"81",-93.375,-71.3125,61
"82",-93.375,-71.1875,62
"83",-93.375,-71.0625,51
"84",-93.375,-70.9375,23
"85",-93.375,-70.8125,6
"86",-93.375,-70.6875,3
"87",-93.125,-72.3125,22
"88",-93.125,-72.1875,108
"89",-93.125,-72.0625,148
"90",-93.125,-71.9375,197
"91",-93.125,-71.8125,127
"92",-93.125,-71.6875,81
"93",-93.125,-71.5625,40
"94",-93.125,-71.4375,180
"95",-93.125,-71.3125,70
"96",-93.125,-71.1875,82
"97",-93.125,-71.0625,69
"98",-93.125,-70.9375,10
"99",-93.125,-70.8125,1
"100",-92.875,-72.3125,465
"101",-92.875,-72.1875,301
"102",-92.875,-72.0625,251
"103",-92.875,-71.9375,170
"104",-92.875,-71.8125,203
"105",-92.875,-71.6875,180
"106",-92.875,-71.5625,107
"107",-92.875,-71.4375,119
"108",-92.875,-71.3125,151
"109",-92.875,-71.1875,86
"110",-92.875,-71.0625,54
"111",-92.875,-70.9375,10
"112",-92.875,-70.8125,3
"113",-92.625,-72.1875,12
"114",-92.625,-72.0625,33
"115",-92.625,-71.9375,106
"116",-92.625,-71.8125,123
"117",-92.625,-71.6875,195
"118",-92.625,-71.5625,209
"119",-92.625,-71.4375,191
"120",-92.625,-71.3125,118
"121",-92.625,-71.1875,72
"122",-92.625,-71.0625,43
"123",-92.625,-70.9375,4
"124",-92.625,-70.8125,5
"125",-92.375,-72.3125,14
"126",-92.375,-72.1875,13
"127",-92.375,-72.0625,16
"128",-92.375,-71.9375,45
"129",-92.375,-71.8125,145
"130",-92.375,-71.6875,252
"131",-92.375,-71.5625,286
"132",-92.375,-71.4375,172
"133",-92.375,-71.3125,86
"134",-92.375,-71.1875,86
"135",-92.375,-71.0625,46
"136",-92.375,-70.9375,12
"137",-92.125,-72.3125,64
"138",-92.125,-72.1875,64
"139",-92.125,-72.0625,28
"140",-92.125,-71.9375,62
"141",-92.125,-71.8125,137
"142",-92.125,-71.6875,256
"143",-92.125,-71.5625,145
"144",-92.125,-71.4375,131
"145",-92.125,-71.3125,120
"146",-92.125,-71.1875,113
"147",-92.125,-71.0625,77
"148",-92.125,-70.9375,7
"149",-92.125,-70.8125,2
"150",-91.875,-72.3125,72
"151",-91.875,-72.1875,70
"152",-91.875,-72.0625,93
"153",-91.875,-71.9375,140
"154",-91.875,-71.8125,214
"155",-91.875,-71.6875,216
"156",-91.875,-71.5625,165
"157",-91.875,-71.4375,143
"158",-91.875,-71.3125,118
"159",-91.875,-71.1875,83
"160",-91.875,-71.0625,72
"161",-91.875,-70.9375,12
"162",-91.625,-72.3125,173
"163",-91.625,-72.1875,163
"164",-91.625,-72.0625,189
"165",-91.625,-71.9375,223
"166",-91.625,-71.8125,251
"167",-91.625,-71.6875,218
"168",-91.625,-71.5625,207
"169",-91.625,-71.4375,150
"170",-91.625,-71.3125,80
"171",-91.625,-71.1875,128
"172",-91.625,-71.0625,53
"173",-91.625,-70.9375,10
"174",-91.375,-72.3125,30
"175",-91.375,-72.1875,195
"176",-91.375,-72.0625,198
"177",-91.375,-71.9375,193
"178",-91.375,-71.8125,178
"179",-91.375,-71.6875,288
"180",-91.375,-71.5625,180
"181",-91.375,-71.4375,142
"182",-91.375,-71.3125,106
"183",-91.375,-71.1875,71
"184",-91.375,-71.0625,68
"185",-91.375,-70.9375,11
"186",-91.375,-70.8125,1
"187",-91.125,-72.3125,163
"188",-91.125,-72.1875,148
"189",-91.125,-72.0625,210
"190",-91.125,-71.9375,191
"191",-91.125,-71.8125,192
"192",-91.125,-71.6875,216
"193",-91.125,-71.5625,174
"194",-91.125,-71.4375,232
