"","x","y","numb"
"1",-107.375,-72.1875,2
"2",-107.375,-72.0625,8
"3",-107.125,-72.3125,2
"4",-107.125,-72.1875,2
"5",-107.125,-72.0625,1
"6",-106.875,-72.3125,8
"7",-106.875,-72.1875,1
"8",-106.625,-72.1875,7
"9",-106.625,-72.0625,4
"10",-106.375,-72.1875,1
"11",-106.375,-72.0625,1
"12",-106.125,-72.0625,3
"13",-105.875,-74.5625,5
"14",-105.875,-71.9375,2
"15",-105.625,-74.5625,1
"16",-105.625,-71.8125,1
"17",-105.375,-74.5625,2
"18",-105.375,-71.8125,3
"19",-105.375,-71.3125,6
"20",-105.125,-74.5625,1
"21",-105.125,-71.8125,1
"22",-105.125,-71.3125,7
"23",-105.125,-71.1875,4
"24",-104.875,-74.5625,1
"25",-104.875,-72.0625,1
"26",-104.875,-71.9375,2
"27",-104.875,-71.8125,6
"28",-104.875,-71.3125,2
"29",-104.625,-74.8125,1
"30",-104.625,-74.6875,3
"31",-104.625,-71.9375,8
"32",-104.625,-71.8125,2
"33",-104.625,-71.3125,4
"34",-104.375,-74.8125,1
"35",-104.375,-72.8125,1
"36",-104.375,-71.9375,9
"37",-104.375,-71.8125,7
"38",-104.375,-71.3125,2
"39",-104.125,-74.9375,1
"40",-104.125,-73.1875,3
"41",-104.125,-73.0625,2
"42",-104.125,-72.9375,1
"43",-104.125,-72.6875,1
"44",-104.125,-72.1875,1
"45",-104.125,-72.0625,4
"46",-104.125,-71.9375,6
"47",-104.125,-71.8125,5
"48",-104.125,-71.6875,4
"49",-104.125,-71.3125,4
"50",-103.875,-73.9375,1
"51",-103.875,-73.8125,1
"52",-103.875,-73.3125,2
"53",-103.875,-73.1875,4
"54",-103.875,-73.0625,1
"55",-103.875,-72.9375,1
"56",-103.875,-72.6875,1
"57",-103.875,-72.4375,3
"58",-103.875,-72.3125,1
"59",-103.875,-72.1875,1
"60",-103.875,-72.0625,6
"61",-103.875,-71.9375,23
"62",-103.875,-71.8125,16
"63",-103.875,-71.6875,18
"64",-103.875,-71.3125,1
"65",-103.875,-71.1875,1
"66",-103.625,-74.8125,1
"67",-103.625,-73.9375,1
"68",-103.625,-73.6875,1
"69",-103.625,-73.5625,1
"70",-103.625,-73.4375,1
"71",-103.625,-73.3125,3
"72",-103.625,-71.9375,11
"73",-103.625,-71.8125,4
"74",-103.625,-71.6875,16
"75",-103.625,-71.1875,8
"76",-103.625,-71.0625,5
"77",-103.625,-70.9375,2
"78",-103.375,-74.0625,2
"79",-103.375,-73.6875,1
"80",-103.375,-73.5625,7
"81",-103.375,-73.4375,6
"82",-103.375,-72.0625,2
"83",-103.375,-71.9375,20
"84",-103.375,-71.8125,1
"85",-103.375,-71.6875,7
"86",-103.375,-71.5625,4
"87",-103.375,-71.4375,10
"88",-103.375,-71.3125,3
"89",-103.375,-71.1875,5
"90",-103.375,-71.0625,10
"91",-103.375,-70.9375,4
"92",-103.125,-74.8125,1
"93",-103.125,-74.3125,1
"94",-103.125,-74.1875,2
"95",-103.125,-73.6875,10
"96",-103.125,-73.5625,11
"97",-103.125,-72.0625,8
"98",-103.125,-71.9375,11
"99",-103.125,-71.8125,15
"100",-103.125,-71.6875,2
"101",-103.125,-71.5625,6
"102",-103.125,-71.4375,4
"103",-103.125,-71.3125,4
"104",-102.875,-74.6875,1
"105",-102.875,-74.4375,1
"106",-102.875,-72.0625,2
"107",-102.875,-71.9375,13
"108",-102.875,-71.8125,11
"109",-102.875,-71.6875,2
"110",-102.875,-71.5625,2
"111",-102.875,-71.4375,15
"112",-102.875,-71.3125,7
"113",-102.625,-74.5625,3
"114",-102.625,-74.4375,1
"115",-102.625,-72.0625,5
"116",-102.625,-71.9375,16
"117",-102.625,-71.8125,3
"118",-102.625,-71.6875,2
"119",-102.625,-71.5625,5
"120",-102.625,-71.4375,10
"121",-102.625,-71.3125,2
"122",-102.625,-71.1875,4
"123",-102.375,-72.0625,3
"124",-102.375,-71.9375,17
"125",-102.375,-71.8125,3
"126",-102.375,-71.6875,1
"127",-102.375,-71.5625,12
"128",-102.375,-71.4375,1
"129",-102.375,-71.3125,5
"130",-102.375,-71.1875,2
"131",-102.375,-71.0625,2
"132",-102.125,-71.9375,14
"133",-102.125,-71.8125,12
"134",-102.125,-71.6875,9
"135",-102.125,-71.5625,3
"136",-102.125,-71.4375,3
"137",-102.125,-71.1875,2
"138",-102.125,-71.0625,4
"139",-102.125,-70.9375,2
"140",-102.125,-70.8125,1
"141",-101.875,-71.9375,20
"142",-101.875,-71.8125,13
"143",-101.875,-71.6875,8
"144",-101.875,-71.5625,1
"145",-101.875,-71.4375,8
"146",-101.875,-71.3125,3
"147",-101.875,-71.1875,2
"148",-101.875,-71.0625,4
"149",-101.625,-71.9375,11
"150",-101.625,-71.8125,18
"151",-101.625,-71.6875,10
"152",-101.625,-71.5625,5
"153",-101.625,-71.4375,6
"154",-101.625,-71.3125,2
"155",-101.375,-71.9375,12
"156",-101.375,-71.8125,30
"157",-101.375,-71.6875,22
"158",-101.375,-71.5625,15
"159",-101.375,-71.4375,9
"160",-101.375,-71.3125,3
"161",-101.375,-71.1875,5
"162",-101.125,-71.9375,35
"163",-101.125,-71.8125,44
"164",-101.125,-71.6875,23
"165",-101.125,-71.5625,10
"166",-101.125,-71.4375,18
"167",-101.125,-71.3125,24
"168",-101.125,-71.1875,23
"169",-101.125,-71.0625,5
"170",-100.875,-71.9375,11
"171",-100.875,-71.8125,40
"172",-100.875,-71.6875,31
"173",-100.875,-71.5625,13
"174",-100.875,-71.4375,17
"175",-100.875,-71.3125,14
"176",-100.875,-71.1875,2
"177",-100.875,-71.0625,2
"178",-100.625,-71.8125,29
"179",-100.625,-71.6875,29
"180",-100.625,-71.5625,17
"181",-100.625,-71.4375,9
"182",-100.625,-71.3125,9
"183",-100.625,-71.1875,6
"184",-100.625,-71.0625,4
"185",-100.625,-70.9375,2
"186",-100.375,-71.8125,33
"187",-100.375,-71.6875,32
"188",-100.375,-71.5625,8
"189",-100.375,-71.4375,14
"190",-100.375,-71.3125,4
"191",-100.375,-71.1875,5
"192",-100.375,-71.0625,3
"193",-100.375,-70.9375,5
"194",-100.375,-70.8125,1
"195",-100.125,-71.9375,20
"196",-100.125,-71.8125,40
"197",-100.125,-71.6875,33
"198",-100.125,-71.5625,9
"199",-100.125,-71.4375,16
"200",-100.125,-71.3125,6
"201",-100.125,-71.1875,7
"202",-100.125,-70.9375,5
"203",-100.125,-70.8125,7
"204",-99.875,-71.9375,10
"205",-99.875,-71.8125,49
"206",-99.875,-71.6875,41
"207",-99.875,-71.5625,11
"208",-99.875,-71.4375,15
"209",-99.875,-71.3125,3
"210",-99.875,-70.8125,1
"211",-99.875,-70.6875,3
"212",-99.625,-71.8125,41
"213",-99.625,-71.6875,207
"214",-99.625,-71.5625,166
"215",-99.625,-71.4375,22
"216",-99.625,-71.3125,9
"217",-99.625,-71.0625,1
"218",-99.625,-70.8125,2
"219",-99.375,-71.8125,47
"220",-99.375,-71.6875,512
"221",-99.375,-71.5625,127
"222",-99.375,-71.4375,27
"223",-99.375,-71.3125,6
"224",-99.375,-71.1875,3
"225",-99.375,-70.8125,1
"226",-99.125,-71.8125,10
"227",-99.125,-71.6875,82
"228",-99.125,-71.5625,71
"229",-99.125,-71.4375,35
"230",-99.125,-71.3125,13
"231",-98.875,-71.8125,6
"232",-98.875,-71.6875,92
"233",-98.875,-71.5625,54
"234",-98.875,-71.4375,47
"235",-98.875,-71.3125,6
"236",-98.625,-71.8125,1
"237",-98.625,-71.6875,68
"238",-98.625,-71.5625,86
"239",-98.625,-71.4375,32
"240",-98.625,-71.3125,11
"241",-98.625,-71.1875,1
"242",-98.375,-71.8125,24
"243",-98.375,-71.6875,194
"244",-98.375,-71.5625,113
"245",-98.375,-71.4375,32
"246",-98.375,-71.1875,3
"247",-98.125,-71.8125,54
"248",-98.125,-71.6875,312
"249",-98.125,-71.5625,65
"250",-98.125,-71.4375,24
"251",-98.125,-71.3125,2
"252",-98.125,-71.1875,2
"253",-98.125,-71.0625,1
"254",-97.875,-71.8125,124
"255",-97.875,-71.6875,134
"256",-97.875,-71.5625,30
"257",-97.875,-71.4375,38
"258",-97.875,-71.3125,17
"259",-97.875,-71.1875,2
"260",-97.875,-71.0625,3
"261",-97.625,-71.8125,146
"262",-97.625,-71.6875,117
"263",-97.625,-71.5625,37
"264",-97.625,-71.4375,13
"265",-97.625,-71.3125,7
"266",-97.625,-71.1875,7
"267",-97.375,-71.8125,151
"268",-97.375,-71.6875,90
"269",-97.375,-71.5625,25
"270",-97.375,-71.4375,4
"271",-97.375,-71.3125,1
"272",-97.375,-71.1875,6
"273",-97.125,-71.8125,120
"274",-97.125,-71.6875,49
"275",-97.125,-71.5625,22
"276",-96.875,-71.8125,101
"277",-96.875,-71.6875,50
"278",-96.875,-71.5625,12
"279",-96.875,-71.4375,1
"280",-96.625,-71.8125,108
"281",-96.625,-71.6875,62
"282",-96.625,-71.5625,9
"283",-96.625,-71.4375,1
"284",-96.625,-71.1875,6
"285",-96.375,-71.9375,3
"286",-96.375,-71.8125,107
"287",-96.375,-71.6875,73
"288",-96.375,-71.5625,16
"289",-96.375,-71.4375,3
"290",-96.375,-71.3125,1
"291",-96.375,-71.1875,18
"292",-96.125,-72.0625,16
"293",-96.125,-71.9375,18
"294",-96.125,-71.8125,104
"295",-96.125,-71.6875,102
"296",-96.125,-71.5625,37
"297",-96.125,-71.4375,19
"298",-96.125,-71.3125,5
"299",-96.125,-71.1875,6
"300",-96.125,-70.9375,2
"301",-96.125,-70.8125,1
"302",-95.875,-72.0625,30
"303",-95.875,-71.9375,152
"304",-95.875,-71.8125,206
"305",-95.875,-71.6875,116
"306",-95.875,-71.5625,75
"307",-95.875,-71.4375,35
"308",-95.875,-71.3125,1
"309",-95.875,-71.1875,5
"310",-95.875,-70.9375,11
"311",-95.625,-72.3125,18
"312",-95.625,-72.0625,78
"313",-95.625,-71.9375,343
"314",-95.625,-71.8125,197
"315",-95.625,-71.6875,78
"316",-95.625,-71.5625,56
"317",-95.625,-71.4375,50
