"","x","y","numb"
"1",-55.125,-60.3125,2
"2",-55.125,-60.1875,1
"3",-54.875,-60.4375,5
"4",-54.875,-60.3125,2
"5",-54.875,-60.1875,2
"6",-54.875,-60.0625,1
"7",-54.625,-60.4375,2
"8",-54.625,-60.3125,1
"9",-54.625,-60.0625,1
"10",-54.625,-59.9375,1
"11",-54.375,-60.8125,2
"12",-54.375,-60.4375,5
"13",-54.375,-59.9375,2
"14",-54.125,-60.8125,2
"15",-54.125,-60.6875,5
"16",-54.125,-60.5625,3
"17",-54.125,-60.4375,3
"18",-54.125,-59.9375,3
"19",-53.875,-60.6875,3
"20",-53.875,-60.4375,8
"21",-53.875,-60.3125,9
"22",-53.875,-59.8125,2
"23",-53.875,-59.5625,1
"24",-53.875,-59.4375,2
"25",-53.625,-60.5625,4
"26",-53.625,-60.4375,17
"27",-53.625,-60.3125,3
"28",-53.625,-60.0625,1
"29",-53.625,-59.9375,3
"30",-53.625,-59.8125,1
"31",-53.625,-59.5625,1
"32",-53.625,-59.4375,2
"33",-53.375,-60.0625,5
"34",-53.375,-59.9375,1
"35",-53.375,-59.8125,1
"36",-53.375,-59.6875,1
"37",-53.375,-59.4375,1
"38",-53.125,-60.0625,3
"39",-53.125,-59.4375,1
"40",-52.875,-60.1875,1
"41",-52.875,-60.0625,3
"42",-52.625,-60.3125,1
"43",-52.625,-60.1875,1
"44",-52.625,-60.0625,4
"45",-52.625,-59.9375,4
"46",-52.375,-60.3125,1
"47",-52.375,-60.1875,7
"48",-52.375,-60.0625,15
"49",-52.375,-59.9375,6
"50",-52.375,-59.8125,3
"51",-52.375,-59.4375,2
"52",-52.375,-59.3125,3
"53",-52.375,-59.1875,5
"54",-52.125,-60.8125,10
"55",-52.125,-60.6875,3
"56",-52.125,-60.1875,8
"57",-52.125,-60.0625,11
"58",-52.125,-59.9375,1
"59",-52.125,-59.8125,1
"60",-52.125,-59.4375,3
"61",-52.125,-59.3125,1
"62",-52.125,-59.1875,1
"63",-52.125,-59.0625,9
"64",-52.125,-58.9375,2
"65",-51.875,-60.8125,3
"66",-51.875,-60.6875,10
"67",-51.875,-60.5625,3
"68",-51.875,-60.1875,6
