"","x","y","numb"
"1",-37.125,-53.0625,1
"2",-37.125,-52.9375,3
"3",-36.875,-53.0625,1
"4",-36.625,-53.0625,2
"5",-36.375,-53.1875,1
"6",-36.375,-53.0625,1
"7",-36.125,-53.1875,1
"8",-35.875,-53.3125,1
"9",-35.625,-53.5625,2
"10",-35.625,-53.4375,2
"11",-35.375,-53.6875,1
"12",-35.375,-53.5625,2
"13",-35.375,-53.4375,1
"14",-35.375,-53.3125,2
"15",-35.125,-53.8125,3
"16",-35.125,-53.6875,1
"17",-35.125,-53.5625,2
"18",-35.125,-53.4375,1
"19",-35.125,-53.3125,3
"20",-34.875,-53.9375,3
"21",-34.875,-53.6875,3
"22",-34.875,-53.5625,3
"23",-34.875,-53.4375,3
"24",-34.875,-53.3125,3
"25",-34.625,-54.0625,4
"26",-34.625,-53.8125,3
"27",-34.625,-53.6875,2
"28",-34.625,-53.5625,2
"29",-34.625,-53.4375,3
"30",-34.625,-53.3125,1
"31",-34.375,-54.1875,2
"32",-34.375,-54.0625,6
"33",-34.375,-53.9375,3
"34",-34.375,-53.6875,2
"35",-34.375,-53.4375,2
"36",-34.375,-53.3125,2
"37",-34.375,-53.1875,1
"38",-34.125,-54.3125,4
"39",-34.125,-54.1875,7
"40",-34.125,-53.9375,1
"41",-34.125,-53.8125,4
"42",-34.125,-53.6875,1
"43",-34.125,-53.5625,2
"44",-34.125,-53.4375,4
"45",-34.125,-53.3125,3
"46",-33.875,-54.4375,4
"47",-33.875,-54.3125,6
"48",-33.875,-54.0625,8
"49",-33.875,-53.9375,5
"50",-33.875,-53.8125,4
"51",-33.875,-53.6875,4
"52",-33.875,-53.5625,2
"53",-33.625,-54.6875,1
"54",-33.625,-54.5625,7
"55",-33.625,-54.4375,10
"56",-33.625,-54.3125,4
"57",-33.625,-54.1875,7
"58",-33.625,-53.9375,6
"59",-33.625,-53.5625,1
"60",-33.625,-53.4375,3
"61",-33.625,-53.3125,7
"62",-33.625,-53.1875,1
"63",-33.625,-53.0625,1
"64",-33.625,-52.9375,1
"65",-33.625,-52.8125,1
"66",-33.375,-54.6875,6
"67",-33.375,-54.5625,5
"68",-33.375,-54.4375,3
"69",-33.375,-54.3125,5
"70",-33.375,-54.1875,17
"71",-33.375,-54.0625,5
"72",-33.375,-53.9375,2
"73",-33.375,-53.8125,3
"74",-33.375,-53.5625,3
"75",-33.375,-53.4375,6
"76",-33.375,-53.3125,1
"77",-33.375,-53.1875,3
"78",-33.375,-52.9375,1
"79",-33.375,-52.6875,1
"80",-33.125,-54.8125,4
"81",-33.125,-54.6875,11
"82",-33.125,-54.5625,9
"83",-33.125,-54.4375,6
"84",-33.125,-54.3125,6
"85",-33.125,-54.1875,9
"86",-33.125,-54.0625,8
"87",-33.125,-53.9375,4
"88",-33.125,-53.8125,1
"89",-33.125,-53.6875,6
"90",-33.125,-53.5625,6
"91",-33.125,-53.4375,14
"92",-33.125,-53.3125,6
"93",-33.125,-53.1875,7
"94",-33.125,-53.0625,2
"95",-33.125,-52.9375,2
"96",-33.125,-52.6875,2
"97",-33.125,-51.3125,1
"98",-33.125,-51.1875,1
"99",-33.125,-51.0625,1
"100",-32.875,-54.8125,2
"101",-32.875,-54.6875,18
"102",-32.875,-54.5625,12
"103",-32.875,-54.4375,9
"104",-32.875,-54.3125,8
"105",-32.875,-54.1875,11
"106",-32.875,-54.0625,22
"107",-32.875,-53.9375,9
"108",-32.875,-53.8125,8
"109",-32.875,-53.6875,2
"110",-32.875,-53.5625,10
"111",-32.875,-53.4375,6
"112",-32.875,-53.3125,2
"113",-32.875,-53.1875,5
"114",-32.875,-53.0625,3
"115",-32.875,-52.9375,2
"116",-32.875,-52.8125,3
"117",-32.875,-51.6875,1
"118",-32.875,-51.5625,1
"119",-32.875,-51.4375,2
"120",-32.625,-55.0625,3
"121",-32.625,-54.9375,7
"122",-32.625,-54.8125,7
"123",-32.625,-54.6875,8
"124",-32.625,-54.5625,31
"125",-32.625,-54.4375,32
"126",-32.625,-54.3125,7
"127",-32.625,-54.1875,9
"128",-32.625,-54.0625,11
"129",-32.625,-53.9375,9
"130",-32.625,-53.8125,11
"131",-32.625,-53.6875,6
"132",-32.625,-53.5625,3
"133",-32.625,-53.4375,3
"134",-32.625,-53.3125,2
"135",-32.625,-53.1875,8
"136",-32.625,-53.0625,5
"137",-32.625,-52.9375,4
"138",-32.625,-52.8125,2
"139",-32.625,-52.6875,2
"140",-32.625,-52.5625,3
"141",-32.625,-52.4375,1
"142",-32.625,-52.3125,1
"143",-32.625,-52.1875,3
"144",-32.625,-52.0625,2
"145",-32.625,-51.9375,2
"146",-32.625,-51.8125,2
"147",-32.625,-51.6875,2
"148",-32.375,-55.1875,1
"149",-32.375,-55.0625,11
"150",-32.375,-54.9375,24
"151",-32.375,-54.8125,17
"152",-32.375,-54.6875,25
"153",-32.375,-54.5625,81
"154",-32.375,-54.4375,28
"155",-32.375,-54.3125,58
"156",-32.375,-54.1875,7
"157",-32.375,-54.0625,7
"158",-32.375,-53.9375,12
"159",-32.375,-53.8125,13
"160",-32.375,-53.6875,9
"161",-32.375,-53.5625,7
"162",-32.375,-53.4375,8
"163",-32.375,-53.3125,8
"164",-32.375,-53.1875,14
"165",-32.375,-53.0625,1
"166",-32.375,-52.8125,1
"167",-32.375,-52.5625,1
"168",-32.375,-52.4375,2
"169",-32.375,-52.3125,2
"170",-32.375,-52.1875,1
"171",-32.375,-52.0625,1
"172",-32.375,-51.9375,3
"173",-32.375,-51.8125,4
"174",-32.125,-55.3125,1
"175",-32.125,-55.1875,1
"176",-32.125,-55.0625,1
"177",-32.125,-54.9375,40
"178",-32.125,-54.8125,33
"179",-32.125,-54.6875,28
"180",-32.125,-54.5625,31
"181",-32.125,-54.4375,37
"182",-32.125,-54.3125,49
"183",-32.125,-54.1875,12
"184",-32.125,-54.0625,11
"185",-32.125,-53.9375,9
"186",-32.125,-53.8125,5
"187",-32.125,-53.6875,10
"188",-32.125,-53.5625,9
"189",-32.125,-53.4375,10
"190",-32.125,-53.3125,3
"191",-32.125,-53.1875,2
"192",-32.125,-53.0625,12
"193",-32.125,-52.9375,8
"194",-32.125,-52.8125,3
"195",-32.125,-52.6875,4
"196",-32.125,-52.5625,2
"197",-32.125,-51.8125,1
"198",-32.125,-51.6875,2
"199",-31.875,-55.3125,3
"200",-31.875,-55.1875,2
"201",-31.875,-55.0625,7
"202",-31.875,-54.9375,38
