OccurrenceID;Dvpt type;Mission;Year;Latitude;Longitude;Station;Station_Year;Bioregion;Depth (GEBCO);PF;AphiaID_accepted;ScientificName_accepted;Authority_accepted;Kingdom;Phylum;Class;Order;Family;Genus;Subgenus;Species2
4004;;JR15005 British Antarctic Survey;2016;-60.47679;-44.41902;-60,47679_-44,41902;-60,47679_-44,41902_2016;South Orkney Islands;-858;South;178249;Cheiraster (Luidiaster) hirsutus;(Studer, 1884);Animalia;Echinodermata;Asteroidea;Notomyotida;Benthopectinidae;Cheiraster;Luidiaster;hirsutus
4005;;JR15005 British Antarctic Survey;2016;-60.49437;-44.51785;-60,49437_-44,51785;-60,49437_-44,51785_2016;South Orkney Islands;-624;South;178249;Cheiraster (Luidiaster) hirsutus;(Studer, 1884);Animalia;Echinodermata;Asteroidea;Notomyotida;Benthopectinidae;Cheiraster;Luidiaster;hirsutus
4006;;JR15005 British Antarctic Survey;2016;-60.49592;-44.52236;-60,49592_-44,52236;-60,49592_-44,52236_2016;South Orkney Islands;-658;South;178249;Cheiraster (Luidiaster) hirsutus;(Studer, 1884);Animalia;Echinodermata;Asteroidea;Notomyotida;Benthopectinidae;Cheiraster;Luidiaster;hirsutus
4007;;JR15005 British Antarctic Survey;2016;-60.55874;-41.08831;-60,55874_-41,08831;-60,55874_-41,08831_2016;South Orkney Islands;-852;South;178249;Cheiraster (Luidiaster) hirsutus;(Studer, 1884);Animalia;Echinodermata;Asteroidea;Notomyotida;Benthopectinidae;Cheiraster;Luidiaster;hirsutus
4008;;JR15005 British Antarctic Survey;2016;-60.5589;-41.03763;-60,5589_-41,03763;-60,5589_-41,03763_2016;South Orkney Islands;-625;South;178249;Cheiraster (Luidiaster) hirsutus;(Studer, 1884);Animalia;Echinodermata;Asteroidea;Notomyotida;Benthopectinidae;Cheiraster;Luidiaster;hirsutus
4009;;JR15005 British Antarctic Survey;2016;-60.5632;-41.02633;-60,5632_-41,02633;-60,5632_-41,02633_2016;South Orkney Islands;-621;South;178249;Cheiraster (Luidiaster) hirsutus;(Studer, 1884);Animalia;Echinodermata;Asteroidea;Notomyotida;Benthopectinidae;Cheiraster;Luidiaster;hirsutus
4010;;JR15005 British Antarctic Survey;2016;-60.6713;-42.49511;-60,6713_-42,49511;-60,6713_-42,49511_2016;South Orkney Islands;-531;South;178249;Cheiraster (Luidiaster) hirsutus;(Studer, 1884);Animalia;Echinodermata;Asteroidea;Notomyotida;Benthopectinidae;Cheiraster;Luidiaster;hirsutus
4011;;JR15005 British Antarctic Survey;2016;-60.67373;-42.50822;-60,67373_-42,50822;-60,67373_-42,50822_2016;South Orkney Islands;-546;South;178249;Cheiraster (Luidiaster) hirsutus;(Studer, 1884);Animalia;Echinodermata;Asteroidea;Notomyotida;Benthopectinidae;Cheiraster;Luidiaster;hirsutus
4012;;JR15005 British Antarctic Survey;2016;-60.67724;-42.52058;-60,67724_-42,52058;-60,67724_-42,52058_2016;South Orkney Islands;-500;South;178249;Cheiraster (Luidiaster) hirsutus;(Studer, 1884);Animalia;Echinodermata;Asteroidea;Notomyotida;Benthopectinidae;Cheiraster;Luidiaster;hirsutus
4013;;JR15005 British Antarctic Survey;2016;-60.72161;-43.02674;-60,72161_-43,02674;-60,72161_-43,02674_2016;South Orkney Islands;-1017;South;178249;Cheiraster (Luidiaster) hirsutus;(Studer, 1884);Animalia;Echinodermata;Asteroidea;Notomyotida;Benthopectinidae;Cheiraster;Luidiaster;hirsutus
