"","x","y","avg","min","max"
"1",-28.125,-59.6875,14,14,14
"2",-28.125,-59.5625,19.5,18,21
"3",-28.125,-59.4375,22.5,22,23
"4",-28.125,-58.1875,47,47,47
"5",-28.125,-58.0625,52,48,56
"6",-28.125,-57.9375,57,57,57
"7",-27.875,-59.8125,13,9,15
"8",-27.875,-59.6875,9.89090909090909,2,21
"9",-27.875,-59.5625,10,4,33
"10",-27.875,-59.4375,16.3666666666667,9,27
"11",-27.875,-59.3125,13.8888888888889,2,30
"12",-27.875,-59.1875,24.1818181818182,8,59
"13",-27.875,-59.0625,27.7777777777778,16,39
"14",-27.875,-58.1875,44.6,43,46
"15",-27.875,-58.0625,58,58,58
"16",-27.875,-57.9375,59.5,59,60
"17",-27.625,-60.1875,50,49,51
"18",-27.625,-60.0625,17.7142857142857,15,20
"19",-27.625,-59.9375,58,55,60
"20",-27.625,-59.8125,5.09243697478992,0,56
"21",-27.625,-59.6875,8.12931034482759,1,60
"22",-27.625,-59.5625,13.2383177570093,3,44
"23",-27.625,-59.4375,8.25290697674419,0,47
"24",-27.625,-59.3125,11.2878295012542,1,52
"25",-27.625,-59.1875,17.5525678294574,2,59.9583333333333
"26",-27.625,-59.0625,10.5980707395498,0,60
"27",-27.625,-58.9375,16.5289256198347,2,57
"28",-27.625,-58.8125,19.936170212766,5,44
"29",-27.625,-58.6875,25,25,25
"30",-27.625,-58.3125,40,39,41
"31",-27.625,-58.1875,42,42,42
"32",-27.625,-57.9375,13.3333333333333,10,18
"33",-27.625,-57.8125,13,11,20
"34",-27.625,-57.6875,14,14,14
"35",-27.625,-56.6875,9,9,9
"36",-27.625,-56.5625,22.921875,10,55.6875
"37",-27.625,-56.4375,58.1875,56.6875,59.6875
"38",-27.375,-60.3125,41.5,39,44
"39",-27.375,-60.1875,40.9259259259259,17,53
"40",-27.375,-60.0625,24.5777777777778,8,59
"41",-27.375,-59.9375,17.8035714285714,4,60
"42",-27.375,-59.8125,18.5707070707071,2,60
"43",-27.375,-59.6875,14.9711538461538,2,59
"44",-27.375,-59.5625,20.2932692307692,3,45
"45",-27.375,-59.4375,25.7235315666158,1,57.6944478352865
"46",-27.375,-59.3125,16.8915228505773,1,59.4618072509766
