"","x","y","numb"
"1",-54.125,-51.6875,1
"2",-54.125,-51.4375,1
"3",-54.125,-51.3125,1
"4",-54.125,-51.0625,2
"5",-54.125,-50.8125,1
"6",-54.125,-50.5625,1
"7",-54.125,-50.4375,1
"8",-54.125,-50.1875,1
"9",-54.125,-50.0625,4
"10",-53.875,-51.9375,1
"11",-53.875,-51.4375,2
"12",-53.875,-51.3125,1
"13",-53.875,-51.1875,1
"14",-53.875,-51.0625,1
"15",-53.875,-50.8125,2
"16",-53.875,-50.6875,2
"17",-53.875,-50.5625,3
"18",-53.625,-52.0625,1
"19",-53.625,-51.4375,1
"20",-53.625,-51.3125,2
"21",-53.625,-51.1875,1
"22",-53.625,-51.0625,1
"23",-53.625,-50.9375,5
"24",-53.625,-50.8125,3
"25",-53.625,-50.6875,3
"26",-53.625,-50.5625,1
"27",-53.125,-52.0625,1
"28",-53.125,-51.6875,2
"29",-53.125,-51.3125,1
"30",-53.125,-51.0625,1
"31",-53.125,-50.9375,1
"32",-53.125,-50.3125,2
"33",-53.125,-50.1875,1
"34",-53.125,-50.0625,7
"35",-52.875,-50.9375,2
"36",-52.875,-50.4375,2
"37",-52.875,-50.0625,4
"38",-52.625,-51.3125,1
"39",-52.625,-51.1875,1
"40",-52.625,-51.0625,3
"41",-52.625,-50.9375,1
"42",-52.625,-50.8125,3
"43",-52.625,-50.6875,1
"44",-52.625,-50.5625,1
"45",-52.625,-50.1875,3
"46",-52.625,-50.0625,16
"47",-52.375,-51.5625,2
"48",-52.375,-51.4375,2
"49",-52.375,-51.3125,2
"50",-52.375,-51.1875,1
"51",-52.375,-50.9375,3
"52",-52.375,-50.8125,1
"53",-52.375,-50.6875,1
"54",-52.375,-50.5625,6
"55",-52.375,-50.4375,2
"56",-52.375,-50.3125,10
"57",-52.375,-50.1875,8
"58",-52.375,-50.0625,27
"59",-52.125,-51.6875,2
"60",-52.125,-51.5625,1
"61",-52.125,-51.4375,1
"62",-52.125,-51.0625,2
"63",-52.125,-50.8125,3
"64",-52.125,-50.6875,3
"65",-52.125,-50.5625,5
"66",-52.125,-50.4375,8
"67",-52.125,-50.3125,2
"68",-52.125,-50.1875,10
"69",-52.125,-50.0625,41
"70",-51.875,-51.8125,1
"71",-51.875,-51.6875,2
"72",-51.875,-51.1875,1
"73",-51.875,-51.0625,1
"74",-51.875,-50.8125,3
"75",-51.875,-50.6875,1
"76",-51.875,-50.5625,13
"77",-51.875,-50.4375,8
"78",-51.875,-50.3125,12
"79",-51.875,-50.1875,5
"80",-51.875,-50.0625,62
"81",-51.625,-52.0625,6
"82",-51.625,-51.9375,5
"83",-51.625,-51.8125,4
"84",-51.625,-51.5625,1
"85",-51.625,-51.4375,1
"86",-51.625,-51.1875,1
"87",-51.625,-50.8125,1
"88",-51.625,-50.6875,9
"89",-51.625,-50.5625,15
"90",-51.625,-50.4375,8
"91",-51.625,-50.3125,3
"92",-51.625,-50.1875,16
"93",-51.625,-50.0625,36
"94",-51.375,-52.0625,1
"95",-51.375,-51.9375,2
"96",-51.375,-51.8125,7
"97",-51.375,-51.6875,5
"98",-51.375,-51.5625,5
"99",-51.375,-51.4375,2
"100",-51.375,-51.3125,4
"101",-51.375,-50.8125,4
"102",-51.375,-50.6875,14
"103",-51.375,-50.5625,8
"104",-51.375,-50.4375,7
"105",-51.375,-50.3125,4
"106",-51.375,-50.1875,29
"107",-51.375,-50.0625,37
"108",-51.125,-51.8125,2
"109",-51.125,-51.6875,4
"110",-51.125,-51.5625,7
"111",-51.125,-51.4375,2
"112",-51.125,-51.3125,4
"113",-51.125,-51.1875,3
"114",-51.125,-51.0625,2
"115",-51.125,-50.9375,1
"116",-51.125,-50.8125,6
"117",-51.125,-50.6875,10
"118",-51.125,-50.5625,8
"119",-51.125,-50.4375,9
"120",-51.125,-50.3125,8
"121",-51.125,-50.1875,19
"122",-51.125,-50.0625,32
"123",-50.875,-51.6875,3
"124",-50.875,-51.5625,3
"125",-50.875,-51.4375,7
"126",-50.875,-51.3125,5
"127",-50.875,-51.1875,6
"128",-50.875,-51.0625,2
"129",-50.875,-50.9375,3
"130",-50.875,-50.8125,7
"131",-50.875,-50.6875,13
"132",-50.875,-50.5625,6
"133",-50.875,-50.4375,10
"134",-50.875,-50.3125,6
"135",-50.875,-50.1875,7
"136",-50.875,-50.0625,46
"137",-50.625,-54.4375,1
"138",-50.625,-51.6875,1
"139",-50.625,-51.3125,2
"140",-50.625,-51.1875,11
"141",-50.625,-51.0625,6
"142",-50.625,-50.9375,7
"143",-50.625,-50.8125,4
"144",-50.625,-50.6875,7
"145",-50.625,-50.5625,8
"146",-50.625,-50.4375,12
"147",-50.625,-50.3125,6
"148",-50.625,-50.1875,10
"149",-50.625,-50.0625,36
"150",-50.375,-57.1875,1
"151",-50.375,-57.0625,3
"152",-50.375,-56.9375,2
"153",-50.375,-56.8125,2
"154",-50.375,-56.6875,1
"155",-50.375,-55.6875,1
"156",-50.375,-54.1875,1
"157",-50.375,-51.6875,1
"158",-50.375,-51.3125,7
"159",-50.375,-51.1875,8
"160",-50.375,-51.0625,1
"161",-50.375,-50.8125,2
"162",-50.375,-50.6875,9
"163",-50.375,-50.5625,8
"164",-50.375,-50.4375,11
"165",-50.375,-50.3125,11
"166",-50.375,-50.1875,15
"167",-50.375,-50.0625,111
"168",-50.125,-57.1875,2
"169",-50.125,-56.6875,1
"170",-50.125,-56.5625,2
"171",-50.125,-56.0625,1
"172",-50.125,-55.9375,1
"173",-50.125,-55.5625,1
"174",-50.125,-55.4375,1
"175",-50.125,-54.5625,1
"176",-50.125,-54.4375,1
"177",-50.125,-53.8125,1
"178",-50.125,-51.4375,1
"179",-50.125,-51.3125,12
"180",-50.125,-51.1875,17
"181",-50.125,-51.0625,29
"182",-50.125,-50.9375,14
"183",-50.125,-50.8125,4
"184",-50.125,-50.6875,9
"185",-50.125,-50.5625,10
"186",-50.125,-50.4375,14
