"zone","label","data2.lat","data2.lon"
"R-05",1,-73.75,-46.5833320617676
"R-05",2,-73.75,-46.0833320617676
"R-05",3,-73.75,-45.5833320617676
"R-05",4,-73.75,-45.0833320617676
"R-05",5,-73.75,-44.5833320617676
"R-05",6,-73.75,-44.0833320617676
"R-05",7,-73.75,-43.5833320617676
"R-05",8,-73.75,-43.0833320617676
"R-05",9,-73.75,-42.5833320617676
"R-05",10,-73.75,-42.0833320617676
"R-05",11,-73.75,-41.5833320617676
"R-05",12,-73.75,-41.0833320617676
"R-05",13,-73.75,-40.5833320617676
"R-05",14,-73.75,-40.0833320617676
"R-05",15,-73.75,-39.5833320617676
"R-05",16,-73.75,-39.0833320617676
"R-05",17,-73.75,-38.5833320617676
"R-05",18,-73.75,-38.0833320617676
"R-05",19,-73.75,-37.5833320617676
"R-05",20,-73.75,-37.0833320617676
"R-05",21,-73.75,-36.5833320617676
"R-05",22,-73.4166641235352,-48.0833320617676
"R-05",23,-73.4166641235352,-47.5833320617676
"R-05",24,-73.4166641235352,-47.0833320617676
"R-05",25,-73.4166641235352,-46.5833320617676
"R-05",26,-73.4166641235352,-36.0833320617676
"R-05",27,-73.0833358764648,-48.5833320617676
"R-05",28,-73.0833358764648,-35.5833320617676
"R-05",29,-72.75,-35.5833320617676
"R-05",30,-72.75,-35.0833320617676
"R-05",31,-72.75,-34.5833320617676
"R-05",32,-72.4166641235352,-49.0833320617676
"R-05",33,-72.4166641235352,-34.5833320617676
"R-05",34,-72.4166641235352,-34.0833320617676
"R-05",35,-72.0833358764648,-49.0833320617676
"R-05",36,-72.0833358764648,-33.5833320617676
"R-05",37,-72.0833358764648,-33.0833320617676
"R-05",38,-72.0833358764648,-32.5833320617676
"R-05",39,-71.75,-49.5833320617676
"R-05",40,-71.75,-49.0833320617676
"R-05",41,-71.75,-32.5833320617676
"R-05",42,-71.75,-32.0833320617676
"R-05",43,-71.75,-31.5833339691162
"R-05",44,-71.4166641235352,-49.5833320617676
"R-05",45,-71.4166641235352,-49.0833320617676
"R-05",46,-71.4166641235352,-31.0833339691162
"R-05",47,-71.4166641235352,-30.5833339691162
"R-05",48,-71.4166641235352,-30.0833339691162
"R-05",49,-71.4166641235352,-29.5833339691162
"R-05",50,-71.0833358764648,-50.0833320617676
"R-05",51,-71.0833358764648,-49.5833320617676
"R-05",52,-71.0833358764648,-29.5833339691162
"R-05",53,-71.0833358764648,-29.0833339691162
"R-05",54,-71.0833358764648,-28.5833339691162
"R-05",55,-71.0833358764648,-28.0833339691162
"R-05",56,-71.0833358764648,-27.5833339691162
"R-05",57,-70.75,-50.5833320617676
"R-05",58,-70.75,-50.0833320617676
"R-05",59,-70.75,-27.5833339691162
"R-05",60,-70.75,-27.0833339691162
"R-05",61,-70.75,-26.5833339691162
"R-05",62,-70.4166641235352,-51.0833320617676
"R-05",63,-70.4166641235352,-50.5833320617676
"R-05",64,-70.4166641235352,-26.0833339691162
"R-05",65,-70.4166641235352,-25.5833339691162
"R-05",66,-70.4166641235352,-25.0833339691162
"R-04",67,-70.0833358764648,-51.0833320617676
"R-05",68,-70.0833358764648,-50.5833320617676
"R-05",69,-70.0833358764648,-25.0833339691162
"R-05",70,-70.0833358764648,-24.5833339691162
"R-05",71,-70.0833358764648,-24.0833339691162
"R-04",72,-69.75,-51.0833320617676
"R-04",73,-69.75,-50.5833320617676
"R-05",74,-69.75,-23.5833339691162
"R-05",75,-69.75,-23.0833339691162
"R-05",76,-69.75,-22.5833339691162
"R-05",77,-69.75,-22.0833339691162
"R-04",78,-69.4166641235352,-51.0833320617676
"R-04",79,-69.4166641235352,-50.5833320617676
"R-05",80,-69.4166641235352,-21.5833339691162
"R-05",81,-69.4166641235352,-21.0833339691162
"R-05",82,-69.4166641235352,-20.5833339691162
"R-04",83,-69.0833358764648,-51.0833320617676
"R-04",84,-69.0833358764648,-50.5833320617676
"R-05",85,-69.0833358764648,-20.0833339691162
"R-05",86,-69.0833358764648,-19.5833339691162
"R-05",87,-69.0833358764648,-19.0833339691162
"R-05",88,-69.0833358764648,-18.5833339691162
"R-04",89,-68.75,-51.0833320617676
"R-04",90,-68.75,-50.5833320617676
"R-05",91,-68.75,-18.5833339691162
"R-05",92,-68.75,-18.0833339691162
"R-05",93,-68.75,-17.5833339691162
"R-04",94,-68.4166641235352,-51.0833320617676
"R-04",95,-68.4166641235352,-50.5833320617676
"R-05",96,-68.4166641235352,-17.0833339691162
"R-05",97,-68.4166641235352,-16.5833339691162
"R-05",98,-68.4166641235352,-16.0833339691162
"R-04",99,-68.0833358764648,-51.0833320617676
"R-04",100,-68.0833358764648,-50.5833320617676
"R-05",101,-68.0833358764648,-16.0833339691162
"R-05",102,-68.0833358764648,-15.5833330154419
"R-05",103,-68.0833358764648,-15.0833330154419
"R-04",104,-67.75,-51.0833320617676
"R-04",105,-67.75,-50.5833320617676
"R-05",106,-67.75,-14.5833330154419
"R-05",107,-67.75,-14.0833330154419
"R-05",108,-67.75,-13.5833330154419
"R-03",109,-67.4166641235352,-81.5833358764648
"R-04",110,-67.4166641235352,-51.5833320617676
"R-04",111,-67.4166641235352,-51.0833320617676
"R-05",112,-67.4166641235352,-13.0833330154419
"R-05",113,-67.4166641235352,-12.5833330154419
"R-05",114,-67.4166641235352,-12.0833330154419
"R-05",115,-67.4166641235352,-11.5833330154419
"R-05",116,-67.4166641235352,-11.0833330154419
"R-03",117,-67.0833358764648,-81.0833358764648
"R-03",118,-67.0833358764648,-80.5833358764648
"R-03",119,-67.0833358764648,-80.0833358764648
"R-04",120,-67.0833358764648,-51.5833320617676
"R-04",121,-67.0833358764648,-51.0833320617676
"R-05",122,-67.0833358764648,-10.5833330154419
"R-05",123,-67.0833358764648,-10.0833330154419
"R-03",124,-66.75,-79.5833358764648
"R-03",125,-66.75,-79.0833358764648
"R-03",126,-66.75,-78.5833358764648
"R-04",127,-66.75,-51.0833320617676
"R-04",128,-66.75,-50.5833320617676
"R-03",129,-66.4166641235352,-78.0833358764648
"R-03",130,-66.4166641235352,-77.5833358764648
"R-03",131,-66.4166641235352,-77.0833358764648
"R-04",132,-66.4166641235352,-50.5833320617676
"R-04",133,-66.4166641235352,-50.0833320617676
"R-04",134,-66.4166641235352,-49.5833320617676
"R-03",135,-66.0833358764648,-77.0833358764648
"R-03",136,-66.0833358764648,-76.5833358764648
"R-04",137,-66.0833358764648,-50.0833320617676
"R-04",138,-66.0833358764648,-49.5833320617676
"R-03",139,-65.75,-76.5833358764648
"R-03",140,-65.75,-76.0833358764648
"R-04",141,-65.75,-49.5833320617676
"R-04",142,-65.75,-49.0833320617676
"R-03",143,-65.4166641235352,-76.0833358764648
"R-03",144,-65.4166641235352,-75.5833358764648
"R-04",145,-65.4166641235352,-49.0833320617676
"R-04",146,-65.4166641235352,-48.5833320617676
"R-03",147,-65.0833358764648,-75.5833358764648
"R-03",148,-65.0833358764648,-75.0833358764648
"R-04",149,-65.0833358764648,-48.5833320617676
"R-04",150,-65.0833358764648,-48.0833320617676
"R-03",151,-64.75,-75.0833358764648
"R-03",152,-64.75,-74.5833358764648
"R-04",153,-64.75,-48.0833320617676
"R-04",154,-64.75,-47.5833320617676
"R-03",155,-64.4166641235352,-74.0833358764648
"R-03",156,-64.4166641235352,-73.5833358764648
"R-04",157,-64.4166641235352,-48.0833320617676
"R-04",158,-64.4166641235352,-47.5833320617676
"R-03",159,-64.0833358764648,-73.5833358764648
"R-03",160,-64.0833358764648,-73.0833358764648
"R-03",161,-64.0833358764648,-72.5833358764648
"R-04",162,-64.0833358764648,-47.5833320617676
"R-04",163,-64.0833358764648,-47.0833320617676
"R-04",164,-64.0833358764648,-46.5833320617676
"R-04",165,-64.0833358764648,-46.0833320617676
"R-04",166,-64.0833358764648,-45.5833320617676
"R-04",167,-64.0833358764648,-45.0833320617676
"R-04",168,-64.0833358764648,-44.5833320617676
"R-04",169,-64.0833358764648,-44.0833320617676
"R-03",170,-63.75,-72.5833358764648
"R-03",171,-63.75,-72.0833358764648
"R-04",172,-63.75,-47.5833320617676
"R-07",173,-63.75,-44.0833320617676
"R-07",174,-63.75,-43.5833320617676
"R-07",175,-63.75,-43.0833320617676
"R-07",176,-63.75,-42.5833320617676
"R-07",177,-63.75,-42.0833320617676
"R-03",178,-63.4166679382324,-72.0833358764648
"R-03",179,-63.4166679382324,-71.5833358764648
"R-07",180,-63.4166679382324,-41.5833320617676
"R-07",181,-63.4166679382324,-41.0833320617676
"R-03",182,-63.0833320617676,-71.0833358764648
"R-03",183,-63.0833320617676,-70.5833358764648
"R-07",184,-63.0833320617676,-40.5833320617676
"R-07",185,-63.0833320617676,-40.0833320617676
"R-03",186,-62.75,-70.5833358764648
"R-03",187,-62.75,-70.0833358764648
"R-07",188,-62.75,-40.0833320617676
"R-07",189,-62.75,-39.5833320617676
"R-08",190,-62.75,-29.5833339691162
"R-08",191,-62.75,-29.0833339691162
"R-08",192,-62.75,-28.5833339691162
"R-08",193,-62.75,-28.0833339691162
"R-08",194,-62.75,-27.5833339691162
"R-08",195,-62.75,-27.0833339691162
"R-08",196,-62.75,-26.5833339691162
"R-08",197,-62.75,-26.0833339691162
"R-08",198,-62.75,-25.5833339691162
"R-08",199,-62.75,-25.0833339691162
"R-08",200,-62.75,-24.5833339691162
"R-03",201,-62.4166679382324,-70.0833358764648
"R-03",202,-62.4166679382324,-69.5833358764648
"R-07",203,-62.4166679382324,-39.5833320617676
"R-07",204,-62.4166679382324,-39.0833320617676
"R-08",205,-62.4166679382324,-31.0833339691162
"R-08",206,-62.4166679382324,-30.5833339691162
"R-08",207,-62.4166679382324,-30.0833339691162
"R-08",208,-62.4166679382324,-24.5833339691162
"R-08",209,-62.4166679382324,-24.0833339691162
"R-08",210,-62.4166679382324,-23.5833339691162
"R-08",211,-62.4166679382324,-23.0833339691162
"R-03",212,-62.0833320617676,-69.5833358764648
"R-07",213,-62.0833320617676,-39.0833320617676
"R-07",214,-62.0833320617676,-38.5833320617676
"R-08",215,-62.0833320617676,-32.0833320617676
"R-08",216,-62.0833320617676,-31.5833339691162
"R-08",217,-62.0833320617676,-23.0833339691162
"R-08",218,-62.0833320617676,-22.5833339691162
"R-03",219,-61.75,-69.0833358764648
"R-07",220,-61.75,-39.0833320617676
"R-07",221,-61.75,-38.5833320617676
"R-08",222,-61.75,-32.5833320617676
"R-08",223,-61.75,-32.0833320617676
"R-08",224,-61.75,-22.0833339691162
"R-08",225,-61.75,-21.5833339691162
"R-03",226,-61.4166679382324,-69.0833358764648
"R-03",227,-61.4166679382324,-68.5833358764648
"R-07",228,-61.4166679382324,-38.5833320617676
"R-08",229,-61.4166679382324,-33.0833320617676
"R-08",230,-61.4166679382324,-21.5833339691162
"R-08",231,-61.4166679382324,-21.0833339691162
"R-03",232,-61.0833320617676,-68.5833358764648
"R-03",233,-61.0833320617676,-68.0833358764648
"R-07",234,-61.0833320617676,-38.5833320617676
"R-08",235,-61.0833320617676,-33.5833320617676
"R-08",236,-61.0833320617676,-33.0833320617676
"R-08",237,-61.0833320617676,-21.0833339691162
"R-03",238,-60.75,-68.0833358764648
"R-03",239,-60.75,-67.5833358764648
"R-07",240,-60.75,-38.5833320617676
"R-08",241,-60.75,-33.5833320617676
"R-08",242,-60.75,-20.5833339691162
"R-03",243,-60.4166679382324,-67.0833358764648
"R-03",244,-60.4166679382324,-66.5833358764648
"R-07",245,-60.4166679382324,-38.5833320617676
"R-08",246,-60.4166679382324,-34.0833320617676
"R-08",247,-60.4166679382324,-33.5833320617676
"R-08",248,-60.4166679382324,-20.5833339691162
"R-08",249,-60.4166679382324,-20.0833339691162
"R-03",250,-60.0833320617676,-66.5833358764648
"R-03",251,-60.0833320617676,-66.0833358764648
"R-03",252,-60.0833320617676,-65.5833358764648
"R-07",253,-60.0833320617676,-38.5833320617676
"R-08",254,-60.0833320617676,-34.0833320617676
"R-08",255,-60.0833320617676,-20.0833339691162
"R-03",256,-59.75,-65.5833358764648
"R-03",257,-59.75,-65.0833358764648
"R-03",258,-59.75,-64.5833358764648
"R-03",259,-59.75,-64.0833358764648
"R-07",260,-59.75,-39.0833320617676
"R-08",261,-59.75,-34.0833320617676
"R-08",262,-59.75,-20.0833339691162
"R-03",263,-59.4166679382324,-64.0833358764648
"R-03",264,-59.4166679382324,-63.5833320617676
"R-03",265,-59.4166679382324,-63.0833320617676
"R-03",266,-59.4166679382324,-62.5833320617676
"R-07",267,-59.4166679382324,-39.0833320617676
"R-08",268,-59.4166679382324,-34.0833320617676
"R-08",269,-59.4166679382324,-20.0833339691162
"R-03",281,-59.0833320617676,-64.5833358764648
"R-03",282,-59.0833320617676,-62.5833320617676
"R-03",283,-59.0833320617676,-62.0833320617676
"R-03",284,-59.0833320617676,-61.5833320617676
"R-07",285,-59.0833320617676,-39.5833320617676
"R-08",286,-59.0833320617676,-34.0833320617676
"R-08",287,-59.0833320617676,-33.5833320617676
"R-08",288,-59.0833320617676,-20.0833339691162
"R-08",289,-59.0833320617676,-19.5833339691162
"R-03",296,-58.75,-61.0833320617676
"R-03",297,-58.75,-60.5833320617676
"R-03",298,-58.75,-60.0833320617676
"R-07",299,-58.75,-40.0833320617676
"R-07",300,-58.75,-39.5833320617676
"R-08",301,-58.75,-33.5833320617676
"R-08",302,-58.75,-20.0833339691162
"R-08",303,-58.75,-19.5833339691162
"R-03",309,-58.4166679382324,-59.5833320617676
"R-03",310,-58.4166679382324,-59.0833320617676
"R-03",311,-58.4166679382324,-51.0833320617676
"R-07",312,-58.4166679382324,-50.5833320617676
"R-07",313,-58.4166679382324,-40.5833320617676
"R-07",314,-58.4166679382324,-40.0833320617676
"R-08",315,-58.4166679382324,-33.5833320617676
"R-08",316,-58.4166679382324,-20.0833339691162
"R-03",322,-58.0833320617676,-58.5833320617676
"R-03",323,-58.0833320617676,-58.0833320617676
"R-03",324,-58.0833320617676,-57.5833320617676
"R-03",325,-58.0833320617676,-52.0833320617676
"R-03",326,-58.0833320617676,-51.5833320617676
"R-07",327,-58.0833320617676,-50.5833320617676
"R-07",328,-58.0833320617676,-50.0833320617676
"R-07",329,-58.0833320617676,-41.5833320617676
"R-07",330,-58.0833320617676,-41.0833320617676
"R-07",331,-58.0833320617676,-38.5833320617676
"R-06",332,-58.0833320617676,-38.0833320617676
"R-06",333,-58.0833320617676,-37.5833320617676
