"","x","y","avg","min","max"
"1",-50.625,-50.4375,93,93,93
"2",-50.625,-50.3125,94,94,94
"3",-50.625,-50.1875,95,95,95
"4",-50.625,-50.0625,95.796880086263,95.7951456705729,95.7986145019531
"5",-50.375,-50.6875,91,91,91
"6",-50.375,-50.5625,92,92,92
"7",-50.125,-50.9375,90,90,90
"8",-49.875,-51.0625,89,89,89
"9",-49.625,-51.1875,88,88,88
"10",-49.375,-51.1875,87,87,87
"11",-49.125,-51.1875,86,86,86
"12",-49.125,-50.5625,62,62,62
"13",-49.125,-50.1875,63,63,63
"14",-48.875,-52.4375,30,30,30
"15",-48.875,-51.0625,85,85,85
"16",-48.875,-50.8125,61,61,61
"17",-48.875,-50.0625,64.2725711398654,63.7638905843099,65.7743072509766
"18",-48.625,-52.8125,29,29,29
"19",-48.625,-52.6875,44,44,44
"20",-48.625,-52.3125,45,45,45
"21",-48.625,-51.0625,72,60,84
"22",-48.625,-50.8125,72,72,72
"23",-48.625,-50.5625,73,73,73
"24",-48.625,-50.4375,74,74,74
"25",-48.625,-50.3125,65,65,65
"26",-48.625,-50.0625,67.2743072509766,66.7743072509766,67.7743072509766
"27",-48.375,-52.8125,37,35,39
"28",-48.375,-52.6875,42,32,52
"29",-48.375,-52.5625,52,52,52
"30",-48.375,-52.4375,46.5,40,53
"31",-48.375,-52.1875,31,31,31
"32",-48.375,-51.1875,58.5,58,59
"33",-48.375,-50.6875,64,64,64
"34",-48.375,-50.3125,75,75,75
"35",-48.375,-50.1875,68.7743072509766,68.7743072509766,68.7743072509766
"36",-48.125,-53.0625,37,31,43
"37",-48.125,-52.8125,51.5,51,52
"38",-48.125,-52.4375,36,36,36
"39",-48.125,-52.3125,33,33,33
"40",-48.125,-52.1875,53.3333333333333,53,54
"41",-48.125,-52.0625,43.5,41,46
"42",-48.125,-51.1875,57,57,57
"43",-48.125,-51.0625,83,83,83
"44",-48.125,-50.9375,82.5,82,83
"45",-48.125,-50.8125,71,71,71
"46",-48.125,-50.3125,76,76,76
"47",-48.125,-50.1875,69.7743072509766,69.7743072509766,69.7743072509766
"48",-48.125,-50.0625,66,66,66
"49",-47.875,-53.1875,28,28,28
"50",-47.875,-53.0625,43.25,34,51
"51",-47.875,-52.9375,51,51,51
"52",-47.875,-52.1875,37,37,37
"53",-47.875,-52.0625,47.6666666666667,34,55
"54",-47.875,-51.1875,68.5,56,81
"55",-47.875,-51.0625,82,82,82
"56",-47.875,-50.9375,73.5,63,84
"57",-47.875,-50.8125,79,70,85
"58",-47.875,-50.6875,86,86,86
"59",-47.875,-50.5625,78,78,78
"60",-47.875,-50.4375,77,77,77
"61",-47.875,-50.1875,68.8871536254883,67,70.7743072509766
"62",-47.625,-53.4375,27,27,27
"63",-47.625,-53.3125,38.4,30,50
"64",-47.625,-53.1875,49.5,49,50
"65",-47.625,-52.1875,32,32,32
"66",-47.625,-51.9375,40,38,42
"67",-47.625,-51.8125,54,54,54
"68",-47.625,-51.3125,80,80,80
"69",-47.625,-51.1875,55,55,55
"70",-47.625,-51.0625,53.5,53,54
"71",-47.625,-50.8125,86.5,55,118
"72",-47.625,-50.6875,99.6,56,175
"73",-47.625,-50.5625,157.666666666667,120,177
"74",-47.625,-50.4375,132.5,87,178
"75",-47.625,-50.3125,88,88,88
"76",-47.625,-50.1875,71.7743072509766,71.7743072509766,71.7743072509766
"77",-47.375,-53.4375,48,48,48
"78",-47.375,-53.1875,49,49,49
"79",-47.375,-52.8125,44,44,44
"80",-47.375,-52.6875,68,44,114
"81",-47.375,-52.5625,115,115,115
"82",-47.375,-52.4375,85,54,116
"83",-47.375,-52.3125,81,45,117
"84",-47.375,-52.0625,47,47,47
"85",-47.375,-51.9375,45,35,55
"86",-47.375,-51.6875,55,55,55
"87",-47.375,-51.4375,79,79,79
"88",-47.375,-51.1875,60,52,68
"89",-47.375,-51.0625,58,54,62
"90",-47.375,-50.9375,117,117,117
"91",-47.375,-50.8125,173,173,173
"92",-47.375,-50.6875,174,174,174
"93",-47.375,-50.4375,121,57,180
"94",-47.375,-50.1875,94.5914357503255,72.7743072509766,122
"95",-47.125,-53.8125,178,178,178
"96",-47.125,-53.6875,179,179,179
"97",-47.125,-53.5625,74,26,180
"98",-47.125,-53.4375,32.3333333333333,29,36
"99",-47.125,-53.3125,48,48,48
"100",-47.125,-52.9375,42,42,42
"101",-47.125,-52.8125,63.8333333333333,39,111
"102",-47.125,-52.6875,65.5,39,113
"103",-47.125,-52.5625,50.875,41,70
"104",-47.125,-52.4375,50.2,40,65
"105",-47.125,-52.3125,53.2,41,71
"106",-47.125,-52.1875,82.5,47,118
"107",-47.125,-52.0625,54.3333333333333,43,64
"108",-47.125,-51.9375,119,119,119
"109",-47.125,-51.8125,46.6666666666667,36,65
"110",-47.125,-51.6875,66,66,66
"111",-47.125,-51.5625,70.3333333333333,56,78
"112",-47.125,-51.4375,61.3333333333333,50,67
"113",-47.125,-51.3125,51,51,51
"114",-47.125,-51.1875,61,61,61
"115",-47.125,-51.0625,68.4,52,116
"116",-47.125,-50.9375,171.5,171,172
"117",-47.125,-50.3125,58,58,58
"118",-47.125,-50.1875,90,90,90
"119",-47.125,-50.0625,98.3871536254883,73.7743072509766,123
"120",-46.875,-55.1875,34,27,41
"121",-46.875,-55.0625,32.8,20,43
"122",-46.875,-54.5625,53.25,21,92
"123",-46.875,-54.4375,64.6666666666667,22,93
"124",-46.875,-54.3125,46.6666666666667,23,94
"125",-46.875,-54.1875,24,24,24
"126",-46.875,-53.9375,177,177,177
"127",-46.875,-53.5625,39,31,47
"128",-46.875,-53.4375,33.6666666666667,27,47
"129",-46.875,-53.3125,81,28,126
"130",-46.875,-53.1875,102,30,180
"131",-46.875,-53.0625,58.3333333333333,52,66
"132",-46.875,-52.9375,51.9090909090909,35,109
"133",-46.875,-52.8125,57,36,110
